<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.11	01:00:00	1255.20	1256.05	1253.95	1255.00	3544	0	21
2018.07.11	02:00:00	1255.00	1256.85	1254.91	1255.94	3293	0	21
2018.07.11	03:00:00	1255.92	1256.09	1253.11	1253.36	5271	0	21
2018.07.11	04:00:00	1253.32	1253.32	1249.03	1251.25	8537	0	21
2018.07.11	05:00:00	1251.24	1251.93	1250.67	1251.80	5773	0	21
2018.07.11	06:00:00	1251.81	1252.22	1250.48	1250.77	3378	0	21
2018.07.11	07:00:00	1250.76	1251.23	1250.07	1251.15	3345	0	21
2018.07.11	08:00:00	1251.09	1252.04	1250.71	1250.96	3667	0	21
2018.07.11	09:00:00	1250.96	1252.86	1250.51	1251.88	6312	0	21
2018.07.11	10:00:00	1251.85	1252.99	1251.62	1252.70	5801	0	21
2018.07.11	11:00:00	1252.69	1253.39	1250.82	1250.95	5490	0	21
2018.07.11	12:00:00	1250.96	1251.06	1249.58	1249.89	5437	0	21
2018.07.11	13:00:00	1249.89	1251.20	1249.39	1250.51	4779	0	21
2018.07.11	14:00:00	1250.51	1250.98	1248.27	1248.75	5008	0	21
2018.07.11	15:00:00	1248.73	1252.55	1248.32	1251.99	9122	0	21
2018.07.11	16:00:00	1252.00	1252.04	1250.07	1250.62	7428	0	21
2018.07.11	17:00:00	1250.62	1251.40	1248.58	1249.00	7927	0	21
2018.07.11	18:00:00	1249.00	1249.01	1245.79	1247.02	9408	0	21
2018.07.11	19:00:00	1246.99	1247.29	1244.75	1245.09	6360	0	21
2018.07.11	20:00:00	1245.09	1245.10	1242.30	1243.00	8008	0	21
2018.07.11	21:00:00	1243.02	1244.02	1242.57	1243.82	5614	0	21
2018.07.11	22:00:00	1243.82	1244.03	1241.88	1242.16	4182	0	21
2018.07.11	23:00:00	1242.17	1242.39	1241.50	1241.73	2426	0	21
2018.07.12	01:00:00	1241.73	1243.44	1241.73	1242.65	2227	0	21
2018.07.12	02:00:00	1242.65	1243.20	1242.12	1242.68	2185	0	21
2018.07.12	03:00:00	1242.67	1243.29	1241.25	1241.41	4248	0	21
2018.07.12	04:00:00	1241.39	1243.78	1241.38	1243.34	5662	0	21
2018.07.12	05:00:00	1243.33	1243.84	1242.77	1243.06	3377	0	21
2018.07.12	06:00:00	1243.03	1243.91	1242.81	1243.64	3342	0	21
2018.07.12	07:00:00	1243.64	1244.56	1243.45	1244.56	2449	0	21
2018.07.12	08:00:00	1244.57	1244.90	1243.04	1243.18	4103	0	21
2018.07.12	09:00:00	1243.15	1244.61	1242.24	1244.56	5657	0	21
2018.07.12	10:00:00	1244.57	1246.34	1243.81	1245.46	6316	0	21
2018.07.12	11:00:00	1245.45	1246.00	1244.65	1245.23	4726	0	21
2018.07.12	12:00:00	1245.23	1245.50	1244.07	1244.83	4070	0	21
2018.07.12	13:00:00	1244.84	1244.84	1242.74	1243.01	4239	0	21
2018.07.12	14:00:00	1243.01	1244.51	1242.42	1244.46	4943	0	21
2018.07.12	15:00:00	1244.48	1246.12	1243.42	1244.67	7210	0	21
2018.07.12	16:00:00	1244.68	1247.23	1244.31	1245.84	8020	0	21
2018.07.12	17:00:00	1245.85	1247.55	1245.47	1246.93	7466	0	21
2018.07.12	18:00:00	1246.93	1248.52	1246.84	1247.43	5885	0	21
2018.07.12	19:00:00	1247.42	1247.85	1246.58	1246.82	4492	0	21
2018.07.12	20:00:00	1246.81	1247.38	1245.34	1246.87	4576	0	21
2018.07.12	21:00:00	1246.79	1247.87	1246.15	1246.23	3277	0	21
2018.07.12	22:00:00	1246.24	1247.17	1246.02	1246.97	2112	0	21
2018.07.12	23:00:00	1246.99	1247.18	1246.61	1247.10	1581	0	21
2018.07.13	01:00:00	1247.10	1247.27	1246.11	1246.37	1742	0	21
2018.07.13	02:00:00	1246.36	1246.55	1245.72	1245.93	2409	0	21
2018.07.13	03:00:00	1245.92	1246.80	1245.87	1246.70	3274	0	21
2018.07.13	04:00:00	1246.71	1248.06	1246.54	1247.16	4284	0	21
